aMSaBU	a/MSaBU/	aMSaBU/
aMSahara	a/MSahara	aMSahara/
aMsaDrI	a/MsaDrI/	aMsaDrI/
aMhati	aMhati/	aMhati/,a/Mhati,aMha/ti
akarman	akarma/n	a/karman,akarma/n
akAmakarSana	akAma/karSana	a/kAmakarSana
akfta	a/kfta	a/kfta,akfta/
akfzwapacya	a/kfzwapacya/	akfzwapacya/
akza	a/kza,akza/	akza/,a/kza
akzaparAjaya	akza/parAjaya/	akzaparAjaya/
akzarAja	akza/rAja/	akzarAja/
akzita	akzita/,a/kzita	a/kzita
akzi	a/kzi,a/kzi/	a/kzi
akzipat	a/kzipa/t	akzipa/t
akziBU	a/kziBU	akziBU/
akzRayAvan	akzRayA/van	akzRa/yAvan
akzRayAdruh	akzRayA/druh	akzRayAdru/h
agada	agada/	a/gada,agada/
agnicityA	agni/cityA/	agnicityA/
agnicit	agni/ci/t	agnici/t
agnijihva	agni/jihva/	agnijihva/
agnijihvA	agni/jihvA/	agnijihvA/
agnitap	agni/ta/p	agnita/p
agnitapas	agni/ta/pas	agnita/pas
agnitapta	agni/tapta/	agnitapta/
agnidagDa	agni/dagDa,agni/dagDa/	agnidagDa/,agni/dagDa
agniDAna	agni/DA/na	agniDA/na
agninakzatra	agni/nakzatra/	agninakzatra/
agniminDa	agni/minDa/	agniminDa/
agniretasa	agni/retasa/	agniretasa/
agniSAla	agni/SA/la	agniSA/la
agniSiKA	agni/SiKA	agniSiKA/
agniSrI	agni/SrI/	agniSrI/
agnizwoma	agni/zwoma/	agnizwoma/
agnizvAtta	agni/zvAtta/	agnizvAtta/
agnihut	agni/hu/t	agnihu/t
agnihotra	agni/hotra,agni/hotra/	agnihotra/,agni/hotra
agnihotrahut	agni/hotra/hu/t	agnihotrahu/t
agnihotrAhuti	agni/hotrAhuti/	agnihotrAhuti/
agnihotrocCizwa	agni/hotrocCizwa/	agnihotrocCizwa/
agnyupasTAna	agnyupasTA/na	agnyupasTAna/
agrajA	a/grajA,a/grajA/	agrajA/
agrajihva	a/grajihva/	agrajihva/
agratas	a/grata/s,agrata/s	agrata/s
agradiDizu	a/gradiDizu/	agradiDizu/
agrayAvan	a/grayA/van	agrayA/van
agraSas	a/graSa/s	agraSa/s
agrega	agrega/,a/grega/	agrega/
agregU	a/gregU/	agregU/
agreRI	a/greRI/	agreRI/
agrepA	a/grepA/	agrepA/
agrepU	a/grepU	agrepU/
agrevaDa	a/grevaDa/	agrevaDa/
agrya	agrya/	a/grya
aGakft	aGa/kf/t	aGakf/t
aGamAra	aGa/mAra/	aGamAra/
aGarud	aGa/ru/d	aGaru/d
aGaSaMsahan	aGa/SaMsaha/n	aGaSaMsaha/n
aGahAra	aGa/hAra/	aGahAra/
aGnya	a/Gnya	a/Gnya,aGnya/
aNgajvara	a/Ngajvara/	aNgajvara/
aNgaBeda	a/NgaBeda/	aNgaBeda/
aNgirasvat	a/Ngirasvat	aNgirasva/t
acCinnaparRa	a/cCinnaparRa/	a/cCinnaparRa,acCinnaparRa/
acyuta	a/cyuta	a/cyuta,acyuta/
acyutakzit	a/cyutakzi/t	acyutakzi/t
acyutacyut	a/cyutacyu/t	acyutacyu/t
ajagara	aja/gara/	ajagara/
ajatva	aja/tva/	ajatva/
ajapAla	aja/pAla/	ajapAla/
ajabaBru	aja/baBru	a/jabaBru
ajarzaBa	aja/rzaBa/	ajarzaBa/
ajaSfNgI	aja/SfNgI/	ajaSfNgI/
ajma	a/jma	ajma/
ajarya	ajarya/	aja/rya
ajina	aji/na	aji/na,ajina/
ajinavAsin	aji/navAsin	ajinavAsi/n
ajiravatI	ajira/vatI	ajiravatI/
ajrya	ajrya/	ajrya^
aYjisakTa	aYji/sakTa/	aYjisakTa/
atijIva	a/tijIva/	atijIva/
atidAha	a/tidAha/	atidAha/
atipada	a/tipada	atipada/
atimokza	a/timokza/,atimokza/	atimo/kza
atiyAja	a/tiyAja/	atiyAja/
atiSarvara	a/tiSarvara/	atiSarvara/
atigrAhya	atigrAhya/	atigrA/hya
atiGnya	atiGnya/	atiGnya^
atitArya	atitArya/	atitArya^
atiTigva	a/tiTigva/	atiTigva/
atIreka	atIreka/	atIre/ka
atradaGna	a/tradaGna/	atradaGna/
atrin	atri/n	atri/n,a/trin
aTarvI	aTarvI/	aTa^rvI
adantaka	adanta/ka	ada/ntaka,adanta/ka
adititva	a/dititva/	adititva/
adfzwahan	adf/zwaha/n	adfzwaha/n
adDAtamAm	adDA/tamA/m	adDAtamA/m
adyaSvIna	adya/SvIna	adyaSvI/na
adyasutyA	adya/sutyA/	adyasutyA/
adyut	adyu/t	a/dyut
adyUtya	adyUtya/	adyUtya^
adroGavAc	adroGa/vAc	a/droGavAc
aDarAt	a/DarA/t,aDarA/t	a/DarAt,aDarA/t
aDarakaRWa	a/DarakaRWa/	aDarakaRWa/
aDarahanu	a/Darahanu/	aDarahanu/
aDarAk	aDarA/k	aDa/rA/k
aDarAcya	aDarAcya/	aDarAcya^
aDorAma	aDo/rAma	aDo^rAma
aDastAt	aDa/stAt	a/DastAt
aDizavaRya	aDizavaRya/	aDizavaRya^
aDrija	a/Drija	aDri^ja
aDvarakarman	aDvara/karma/n	aDvarakarma/n
aDvarakft	aDvara/kf/t	aDvarakf/t
aDvaraprAyaScitti	aDvara/prAyaScitti	aDvaraprAyaScitti/
aDvaraSrI	aDvara/SrI/,aDvaraSrI/	aDvaraSrI/
anagnatA	a/nagnatA	anagna/tA
anagnitrA	anagni/trA	a/nagnitrA
anagnidagDa	anagni/dagDa	a/nagnidagDa
anativyADya	anativyADya/	anativyADya^
anadDApuruza	a/nadDApuruza/	anadDApuruza/
anapajayyam	a/napajayya/m	anapajayya/m
anaparAdDam	a/naparAdDa/m	anaparAdDa/m
anavaDarzya	anavaDarzya/	anavaDarzya^
anaSanatA	a/naSanatA	anaSana/tA
anaSvadA	anaSva/dA	a/naSvadA
anAgas	a/nAgas,anAga/s	a/nAgas
anAgA	a/nAgA	anAgA/
anAyatana	a/nAyatana	a/nAyatana,anAyatana/
anAvraska	a/nAvraska,anAvraska/	anAvraska/
animizam	a/nimizam,animiza/m	a/nimizam
animiza	animiza/	a/nimiza,animiza/
anila	a/nila	anila/
anIkaSas	a/nIkaSa/s	anIkaSa/s
anukAmakft	anukAma/kf/t	anukAmakf/t
anukUla	anukU/la,anukU/lA	anukU/la
anudrazwavya	anudrazwavya/	anudrazwa/vya
anumAna	anumAna/	anumA/na,anumAna/
anuvAkyA	anuvAkyA/	anuvAkyA^
anuvyam	anuvya/m	anuvya^m
anUkya	anUkya/	anUkya^
anUcya	anUcya/	anUcya^
anUpya	anUpya/	anUpya^
anUbanDya	anUbanDya^	anUba/nDya
anftadviz	a/nftadvi/z	anftadvi/z
anftavAc	a/nftavA/c	anftavA/c
anovAhya	anovAhya/	anovAhya^
antatas	a/ntata/s	antata/s
antakadruh	a/ntakadru/h	antakadru/h
antaHkoSa	anta/HkoSa/	antaHkoSa/
antaHparSavya	anta/HparSavya/	antaHparSavya/
antaHpavitra	anta/Hpavitra/	antaHpavitra/
antaHpAta	anta/HpAta/	antaHpAta/
antaHpAtra	anta/HpAtra/	antaHpAtra/
antaHpArSvya	anta/HpArSvya/	antaHpArSvya/
antaHpeya	anta/Hpe/ya	antaHpe/ya
antaHSleza	anta/HSleza/	antaHSleza/
antaHSlezaRa	anta/HSle/zaRa	antaHSle/zaRa
antaHsadasam	anta/Hsadasa/m	antaHsadasa/m
antaratas	a/ntarata/s,antara/ta/s	antarata/s
antaradiSA	a/ntaradiSA/	antaradiSA/
antarikzaprA	anta/rikzaprA/	antarikzaprA/
antarikzaprut	anta/rikzapru/t	antarikzapru/t
antarikzaloka	anta/rikzaloka/	antarikzaloka/
antarikzasad	anta/rikzasa/d	antarikzasa/d
antarikzasadya	anta/rikzasa/dya	antarikzasa/dya
antaspaTa	anta/spaTa	a/ntaspaTa
antideva	a/ntideva	antideva/,a/ntideva
anDakArita	anDa/kArita	anDakArita/
anDatamasa	anDa/tamasa	anDatamasa/
annAvfD	annAvf/D	annA/vfD
anya	a/nya,anya/	anya/,a/nya
anyakzetra	anya/kzetra/	anyakzetra/
anyarAzwrIya	anya/rAzwrI/ya	anyarAzwrI/ya
anyavApa	anya/vApa/	anyavApa/
anyodarya	anyo/darya	a/nyodarya
anvAhArya	anvAhArya/	anvAhArya^
anvAhAryapacana	anvAhArya/pa/cana	anvAhAryapa/cana
apad	apa/d	a/pad,apa/d
apara	a/para,a/para/	a/para
aparam	a/param	a/param,apara/m
aparaja	a/paraja/	aparaja/
aparapakza	a/parapakza/	aparapakza/
aparapakzIya	a/parapakzIya	aparapakzI/ya
aparapaYcAla	a/parapaYcAla	apara/paYcAla
apararAtra	a/pararAtra/	apararAtra/
aparasakTa	a/parasakTa/	aparasakTa/
apasya	apasya/	apasya^
apAkAt	a/pAkA/t	apAkA/t
apAcya	apAcya/	apAcya^
apAnadA	apAna/dA/	apAnadA/
apAnapA	apAna/pA/	apAnapA/
apAnaBft	apAna/Bf/t	apAnaBf/t
apikakzya	apikakzya/	apikakzya^
apIcya	apIcya/	apIcya^
apunardIyamAna	apuna/rdIyamAna	a/punardIyamAna
apuronuvAkyaka	apuro'nuvAkya/ka	apuro'nuvAkya^ka
apUpamaya	apUpa/maya	apUpama/ya
apUruzaGna	apUruza/Gna	a/pUruzaGna
aprajas	a/prajas	a/prajas,apraja/s
apratirUpa	aprati/rUpa,a/pratirUpa	a/pratirUpa
aprARa	a/prARa	aprARa/
apsu	a/psu,apsu/	a/psu
apsukzit	apsu/kzi/t	apsukzi/t
apsuja	apsu/ja/	apsuja/
apsujA	apsu/jA/	apsujA/
apsujit	apsu/ji/t	apsuji/t
apsuyoga	apsu/yoga/	apsuyoga/
apsuzad	apsu/za/d	apsuza/d
apsuzoma	apsu/zoma/	apsuzoma/
abanDukft	abanDu/kft	a/banDukft
abalya	abalya/	abalya^
abrahman	a/brahman,a/brahma/n	a/brahman,abrahma/n
aBayaMkara	a/BayaMkara/	aBayaMkara/
aBayaMkft	a/BayaMkf/t	aBayaMkf/t
aBayasani	a/Bayasa/ni	aBayasa/ni
aBicakzaRa	aBica/kzaRa	aBi/cakzaRa
aBimAtijit	aBi/mAtiji/t	aBimAtiji/t
aBimAtizAh	aBi/mAtizA/h	aBimAtizA/h
aBimAtizAha	aBi/mAtizAha/	aBimAtizAha/
aBimAtizAhya	aBi/mAtizA/hya	aBimAtizA/hya
aBimAtihan	aBi/mAtiha/n	aBimAtiha/n
aBivAnyA	aBivAnyA/	aBivAnyA^
aByUQi	aByU/Qi	aByU^Qi
aBiSasticAtana	aBi/SasticA/tana	aBiSasticA/tana
aBiSastipA	aBi/SastipA/	aBiSastipA/
aBiSastipAvan	aBi/SastipA/van	aBiSastipA/van
aBizwi	aBizwi/	aBizwi/,aBi/zwi
aBizwikft	aBizwi/kf/t	aBizwikf/t
aBizwipA	aBizwi/pA/	aBizwipA/
aBizwiSavas	aBizwi/Savas	aBi/zwiSavas
aBIruRa	aBI/ruRa	aBIru/Ra
aBIti	aBI/ti	aBI^ti
aBIka	aBI/ka	a/BIka,aBI/ka
aByaYjanya	aByaYjanya/	aByaYjanya^
aByarDayajvan	aByarDa/ya/jvan	aByarDaya/jvan
aByavadAnya	aByavadAnya/	aByavadA/nya
aBrajA	aBra/jA/	aBrajA/
aBrapruz	aBra/pru/z	aBrapru/z
aBrasani	aBra/sa/ni	aBrasa/ni
amati	a/mati,ama/ti	ama/ti,a/mati
amata	a/mata	a/mata,amata/
amAjur	amA/jur	amAju/r
