k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
AGAwa,āghāṭa,yes,no,yes,1,hapax(1),no
AGawwaka,āghaṭṭaka,yes,yes,yes,1,hapax(1),yes
AKu,ākhu,yes,no,yes,3,uncommon(10-99),no
AKukarRaparRikA,ākhukarṇaparṇikā,yes,yes,no,,,no
AKuvizahA,ākhuviṣahā,yes,yes,yes,1,hapax(1),yes
AQakI,āḍhakī,no,no,yes,3,uncommon(10-99),no
ARavIna,āṇavīna,no,yes,no,,,no
ASana,āśana,yes,no,no,,,no
ASaya,āśaya,yes,no,yes,4,common(100-999),no
ASupattrI,āśupattrī,yes,yes,no,,,no
ASvatTa,āśvattha,no,yes,yes,3,uncommon(10-99),no
AcArI,ācārī,yes,yes,no,,,no
AcCuka,ācchuka,yes,yes,no,,,no
AdAnI,ādānī,yes,yes,yes,1,hapax(1),yes
Aditya,āditya,yes,no,yes,5,very-common(1000+),no
AdityakAntA,ādityakāntā,yes,yes,no,,,no
AdityaparRikA,ādityaparṇikā,no,yes,no,,,no
Adityapattra,ādityapattra,yes,yes,yes,2,rare(2-9),yes
Adityatejas,ādityatejas,yes,yes,no,,,no
Agarava,āgarava,no,yes,no,,,no
Agastya,āgastya,no,yes,yes,2,rare(2-9),no
Ahulya,āhulya,yes,yes,yes,2,rare(2-9),yes
AkASamAMsI,ākāśamāṃsī,yes,yes,yes,1,hapax(1),yes
AkASamUlI,ākāśamūlī,yes,yes,no,,,no
AkASavallI,ākāśavallī,yes,yes,yes,2,rare(2-9),yes
Akalla,ākalla,yes,yes,yes,2,rare(2-9),yes
AkfticCattrA,ākṛticchattrā,yes,yes,no,,,no
Akulakft,ākulakṛt,no,yes,no,,,no
AkzIba,ākṣība,yes,yes,no,,,no
AkzaBArika,ākṣabhārika,no,yes,no,,,no
AkzakI,ākṣakī,no,yes,yes,1,hapax(1),no
Akzika,ākṣika,yes,no,yes,2,rare(2-9),no
AlAbu,ālābu,yes,yes,no,,,no
Alu,ālu,yes,no,yes,2,rare(2-9),no
Aluka,āluka,no,no,yes,2,rare(2-9),no
AmaRqa,āmaṇḍa,yes,yes,yes,2,rare(2-9),yes
AmalakIpattra,āmalakīpattra,no,yes,no,,,no
AmalakIpattraPala,āmalakīpattraphala,no,yes,no,,,no
Amalaka,āmalaka,yes,yes,yes,4,common(100-999),yes
Amaya,āmaya,no,no,yes,4,common(100-999),no
Amla,āmla,yes,no,yes,2,rare(2-9),no
Amlavetasa,āmlavetasa,no,yes,no,,,no
Amoda,āmoda,yes,no,yes,3,uncommon(10-99),no
AmrAta,āmrāta,no,yes,yes,3,uncommon(10-99),no
AmrAtaka,āmrātaka,no,no,yes,3,uncommon(10-99),no
Amra,āmra,no,no,yes,4,common(100-999),no
AmraganDiharidrA,āmragandhiharidrā,no,yes,no,,,no
AmraniSA,āmraniśā,yes,yes,no,,,no
AmravAwa,āmravāṭa,yes,yes,no,,,no
Amupa,āmupa,yes,yes,no,,,no
Anutilya,ānutilya,no,yes,no,,,no
Apya,āpya,yes,no,yes,3,uncommon(10-99),no
AraRyamudgA,āraṇyamudgā,yes,yes,no,,,no
AragvaDa,āragvadha,no,no,yes,3,uncommon(10-99),no
Aralu,āralu,yes,yes,no,,,no
ArdramAzA,ārdramāṣā,yes,yes,yes,2,rare(2-9),yes
Arka,ārka,no,no,yes,3,uncommon(10-99),no
Artagala,ārtagala,no,yes,yes,3,uncommon(10-99),no
Aru,āru,yes,no,yes,1,hapax(1),no
Aruzkara,āruṣkara,no,yes,yes,2,rare(2-9),no
AsPotA,āsphotā,no,yes,yes,3,uncommon(10-99),no
AsPota,āsphota,no,yes,yes,2,rare(2-9),no
AsPotaka,āsphotaka,yes,yes,yes,1,hapax(1),yes
Asana,āsana,no,no,yes,5,very-common(1000+),no
Asavadru,āsavadru,yes,yes,yes,1,hapax(1),yes
AsurI,āsurī,yes,no,yes,3,uncommon(10-99),no
Atfpya,ātṛpya,yes,yes,no,,,no
Ati,āti,yes,no,yes,2,rare(2-9),no
AtmaSalyA,ātmaśalyā,yes,yes,yes,2,rare(2-9),yes
AtmaguptA,ātmaguptā,no,yes,yes,3,uncommon(10-99),no
AtmamUlI,ātmamūlī,yes,yes,no,,,no
AtmarakzA,ātmarakṣā,yes,yes,yes,2,rare(2-9),yes
AtmodBavA,ātmodbhavā,yes,no,yes,1,hapax(1),no
Avalguja,āvalguja,no,yes,yes,1,hapax(1),no
AvartinI,āvartinī,no,no,no,,,no
AvegI,āvegī,yes,yes,yes,2,rare(2-9),yes
Awi,āṭi,no,yes,yes,1,hapax(1),no
AyatacCadA,āyatacchadā,yes,yes,no,,,no
AyuDaDarmiRI,āyudhadharmiṇī,yes,yes,no,,,no
BARqI,bhāṇḍī,no,yes,yes,2,rare(2-9),no
BARqa,bhāṇḍa,yes,no,yes,4,common(100-999),no
BAlaviBUzaRa,bhālavibhūṣaṇa,yes,yes,yes,1,hapax(1),yes
BAnuPalA,bhānuphalā,yes,yes,yes,1,hapax(1),yes
BArNgI,bhārṅgī,no,yes,yes,3,uncommon(10-99),no
BAraNgI,bhāraṅgī,yes,yes,yes,1,hapax(1),yes
BAratI,bhāratī,yes,no,yes,3,uncommon(10-99),no
BAravfkza,bhāravṛkṣa,yes,yes,no,,,no
BArgI,bhārgī,yes,no,yes,3,uncommon(10-99),no
BArgavI,bhārgavī,yes,no,yes,3,uncommon(10-99),no
BAryAvfkza,bhāryāvṛkṣa,yes,yes,yes,1,hapax(1),yes
BAskara,bhāskara,yes,no,yes,4,common(100-999),no
BAskarezwA,bhāskareṣṭā,yes,yes,yes,1,hapax(1),yes
