a:1,1:ἀἀν
aMsa:1,2:ὦμοςἄσιλλα
aMhu:1,2:ἐγγύς
aMhas:1,2:ἄχνυμαιἄχοςἄγος
aMh:1,2:ἄχοςἐγγύς
akza:3,1:ἄξων
akzi:3,3:ὄσσεὄκταλλος
agre:6,2:ἄκρον
aNka:7,1:ἀγκάςἀγκάληἀγκώνὄγκος
aNkuSA:7,2:ἄγκιστρον
aNkuSI:7,2:ἄγκιστρον
aNkas:7,2:ἄγκος
aNgira:8,2:ἄγγελοςἄγγαρος
aja:9,2:αἴξαἰγός
aj:9,2:ἄγω
ajra:10,3:ἀγρός
ajmab:10,3:ὄγμος
ati:12,2:ἔτιἀντί
ad:17,3:ἔδω
an:24,1:ἄνεμος
anaPA:26,1:ἀναφή
anaSva:27,2:ἄνιππος
anta:42,3:ἄνταἀντί
anti:44,2:ἀντί
antra:44,3:ἔντερον
anDas:45,1:ἄνθος
anya:45,2:ἄλλοςἄλγο-ςἔνιοι
ap:47,3:δ
ap:47,3:ἀφρός
apa:47,3:ἀπό
apaciti:48,3:ἀπότισις
api:55,1:ἐπί
apsas:59,3:orκόλπος
aBi:61,1:ἀμφί
aBra:79,3:ὄμβρος
amitraGAta:81,3:*᾿αμιτροχάτης
amBas:84,1:ὄμβρος
amBfRa:84,1:ὄβριμοςὄμβριμος
aram:87,1:ἄρα
aritf:88,1:ἐρέτηςἐρετμόν
arBa:93,1:ὀρφανός
arh:93,3:ἄρχω
ava:96,1:αὐαὐτόςαὖαὖθι
av:96,1:ἀίω
avi:107,2:ὄϊ-ς-s
aSmanta:114,2:κάμινος
aSvA:114,3:ἵππος
aSru:114,3:δάκρυ
azwan:116,2:ὀκτώ
as:117,1:ἐσ-τί
astra:122,3:ἄστρονἀστήρ
asTi:122,3:ὀστέον
asma:123,2:ἡμᾶς
asvapna:124,1:ἄϋπνος
aham:124,2:ἐγώ
ahorAtraa:124,3:νυχθήμερον
ahi:125,1:ἔχι-ςἔχιδναἔγχελυςὄφις
ahirbuDnyas:125,2:ὄφιςΠύθων
Akokera:128,1:Αἰγόκερως
Agas:129,3:ἄγος
Atman:135,1:ἀϋτμήνἀτμός
Ap:142,2:ἄφενοςἀφνειός
Apoklima:144,1:ἀπόκλιμα
Ama:146,2:ὠμός
Ayus:149,1:αἰέςαἰών
Ara:149,2:*῎αρης
ArAma:150,1:ἠρέμαἔρημος
ArtnI:152,1:κορώνη
Avis:155,3:ἐξ
ASu:157,3:ὠκύςὤκιστος
ASayAna:157,3:ὠκεανός
As:159,3:ἧ(σ)-μαιἧςται
AsPujit:161,3:*᾿αφροδίτη
i:163,3: εἶ-μιἴ-μεν
iKa:164,1:εἴκωοἴχομαι
itTa:165,2:ἰχθύς
indra:166,2:γ
iBI:167,3: ἐλ-έφας
inD:167,3:αἴθωἰθαρόςαἰθήρΑἴτνη
il:168,2:ἐλάω
izu:168,3:ἰός
iz:169,1:ἰό-τηςἵμερος
izira:169,2:ἱερός
iha:169,3:ἰθαἰθαιἰθα-γενήςἰθαι-γενής
IdfSa:170,2:λικὑμῆλιξλικοτηλίκο-ς
IdfSaka:170,2:λικὑμῆλιξλικοτηλίκο-ς
ukz:172,1:ὑγρόςὑγρότηςὑγραίνω
ugra:172,2:ὑγι-ήςὑγίεια
ujjayinI:174,3:*᾿οζήνη
uttAnapAda:177,2:Β
uttaram:178,1:ὕστερος
unda:183,1:ὕδωρ
ud:183,1:ὕδωρ
upa:195,1:ὑπό
upari:205,1:ὑπέρ
upalabDi:205,3:ὑπόληψις
upalA:205,3:ὤπαλος
upalaB:205,3:ὑπολαμβάνω
uBa:216,2:ἄμφω
uru:217,3:εὐρύςεὐρύνω
ulUka:218,3:ὀλ-ολυγ-αία
uzas:220,1:φοῖβος
uzas:220,1:ἠώς
UDas:221,1:οὖθαρ
UrRA:221,3:ἔρ-ι-ον
UrRavABi:221,3:ὑφ-αίνω
Urj:221,3:ὀργάω
UrDvam:222,1:ὀρθός
f:223,2:ὄρ-νυ-μιἐρ-έ-τηςἀρό-ω
fkza:224,3:ἄρκτος
fjvI:225,2:ὀρέγω
fjra:225,3:ἀργόςἄργυρος
fYj:225,3:ὀρέ-γω
fBu:226,2:ἀλφεῖν
fzaBI:226,3:ἄρσην
fz:226,3:ἔρσηἄψ-ορροςπαλίν-ορσος
eka:227,3:οἰ-ν-όςοἶος
eman:231,3:οἶμοςοἴμη
emaa:231,3:οἶμοςοἴμη
eDa:232,1:αἰθόςαἶθος
enas:232,1:αἰνός
erakA:232,1:αἶρα
ena:232,1:ἕνοἷος
eva:232,2:αἰέςαἰών
ojas:235,2:ὑγ-ιέςαὐγ-ήἐρι-αυγής
ka:240,2:πόθενπῶςκόθενκῶςτίςτί
kaK:242,1:καχάζωκαγχάζω
kaRwa:245,2:κεντέωκεστόςκέστρον
kati:246,3:πόστος
katara:246,3:πότεροςκότερος
katiTa:246,3:πόστος
kadA:248,1:κότεπότε
kadara:248,1:κέδρος
kan:248,2:καναψή
kanTA:249,2:κέντρων
kanda:249,3:κόνδοςκονδύλος
kapanA:250,1:κάμπη
kapAla:250,2:κωπήκεφαλή
kapi:250,3:κήποςκεῖποςκήβος
kam:251,3:κεν
kamp:252,2:κάμπτω
karaNka:254,3:κάρυονκέραςκαρκίνος
karkawI:256,1:καρκίνος
karkara:256,1:κρόκηκροκάλη
karpAsa:258,1:κάρπασος
kalaSI:260,3:κάλιξ
kalama:260,3:κάλαμος
kalya:263,2:καλός
kaz:265,2:κεωρέωκάσσα
kastUrikA:266,2:κάστωρ
kastIra:266,2:κασσίτερος
kApizWala:271,2:Καμβισθολοί
kAla:278,2:κήρ
kiMnarA:283,1:κινύρα
kimpala:283,3:κύμβαλον
kukzi:287,2:κοχώνη
kunta:291,1:κοντός
kubja:291,3:κυφόςκύπτω
kuBA:292,1:Κωπήν
kumBa:293,1:κύμβη
kuleSvara:295,2:κατ᾽ἐξοχήν
kuhUkaRWa:299,1:κόκκυ
kU:299,1:κωκύω
kUpI:300,1:κύπη
kUrmI:300,2:κλέμμυςχέλυςχελώνη
kf:300,3:κραίνωκρόνος
kft:304,2:κείρωκάρσις
kfSa:305,3:κολοσσόςκολοκός
kF:308,2:κεράννυμικίρνημι
kemadruma:309,2:κενο-δρόμος
kendra:309,2:κέντρον
koRa:313,1:Κρόνος
kOrpi:317,1:σκορπίος
kratu:319,1:κράτος
kravis:320,2:κρέας
kramela:320,2:κάμηλος
kriya:320,3:κριός
krI:321,2:πρίαμαιπέρνημι
kruD:322,1:κότος
kruS:322,2:κρώζωκράζωκραγγή
kland:323,2:κλάζω
kloman:324,2:πνεύμωνπλεύμων
kzan:325,3:κτείνωκαίνωξαίνωσίνομαιξίνομαι
kzap:326,1:κνέφας
kzam:326,2:χαμαίχθαμαλός
kzam:326,2:χθών
kzamA:326,3:χαμᾶ-ζεχαμά-θεν
kzamyaa:326,3:χθόνιος
kzi:327,3:κτάομαι
kzi:327,3:κτίζω
kzi:328,1:φθί-νωφθί-σι-ς
kzitaa:328,2:φθι-τό-ς
kzipra:329,1:κραιπνός
kzud:330,2:ξύωξέωξέϝωξυστόςξεστός
kzudraka:331,1:*᾿οξυδρακοι
