k1_slp1,L_sense_count,dcs_freqBand,dcs_band_label,mw_gloss_snippet
ABIrapalli,1,,,"f. a station of herdsmen, village inhabited by cowherds only, abode of cowherds &c., L."
ABaRqana,1,,,"n. defining, determining, L."
ABerI,1,,,"f. N. of one of the Rāgiṇīs or modes of music (personified as a female), L."
ABiDA,1,,,"f. (for aBi-DA, q.v.), word, name, appellation, L."
ABiDAnIyaka,1,,,"n. (fr. aBi-DAnIya), the characteristic of a noun, L."
ABiDAtaka,1,,,"n. word, name, L."
ABojin,1,,,"mfn. ifc. eating, consuming, L."
ABrika,1,,,"mfn. (fr. aBri), one who digs with a wooden spade or hoe, L."
AByantaranftta,1,,,"n. perfect dancing (according to the Nāṭya-śāstras), L."
ADAnika,1,,,"n. a ceremony performed before conception, L."
ADijYa,1,,,"mfn. suffering pain, L."
ADija,1,,,"mfn. produced by anxiety or pain &c., L."
ADimanyu,1,,,"m. pl. (fr. aDimanyu), febrile heat, L."
ADyApaka,1,,,"m. a teacher, a religious preceptor (= aDyApaka, q.v.), L."
AGAraRa,1,,,"m. a partic. sacrificial ladle, L."
AGarzaRI,1,,,"f. a brush, rubber, L."
AGawwalikA,1,,,"f. a horn for blowing, L."
AKewika,2,,,"m. (also aK˚, q.v.) a hound, L."
AKilya,1,,,"n. (fr. a-Kila), the whole, L."
AKowa,1,,,"m. (= akzowa, q.v.) the walnut tree, L."
AKowaSIrzaka,1,,,"n. a kind of pavement, L."
AKuGAta,1,,,"m. ‘a rat-catcher’, a man of low caste and profession, L."
AKuSruti,1,,,"f. = -karRI above, L."
AKukarRaparRikA,1,,,"f. ‘Myosotis’, the plant Salvinia Cucullata, L."
AKuraTa,1,,,"m. = -ga above, L."
AKuyAna,1,,,"m. Gaṇeśa (cf. -ga), L."
AKyApaka,1,,,"mfn. making known, L."
AKyAyanI,1,,,"f. a message, L."
ANgalOkika,1,,,"m. a dream caused through bile or phlegm, L."
ANkzI,1,,,"f. a musical instrument, L."
AQA,1,,,"f. a centipede, L."
AQika,1,,,"n. bone, L."
ARuka,1,,,"n. dirt in the eye, L."
ASAQa,1,,,"= AzAQa, q.v., L."
ASApuraguggulu,1,,,"m. a kind of bdellium, L."
ASApurasamBava,1,,,"m. a kind of bdellium, L."
ASAvarI,1,,,"f. a partic. Rāgiṇī or musical mode, L."
ASakta,1,,,"mfn. very powerful or mighty, able, L."
ASekuwin,1,,,"m. N. of a mountain, L."
ASitf,1,,,"mfn. eating greedily, voracious, gluttonous, L."
ASocani,2,,,"m. fire, L."
ASuPala,1,,,"m. a kind of weapon, L."
ASupattrI,1,,,"f. a tree which yields frankincense, Boswellia Serrata, L."
ASvAsaka,1,,,"mfn. causing to take breath or courage, consolatory, comforting, L."
ASvIya,1,,,"n. a multitude of horses, L."
ASvinacihnita,1,,,"n. the autumnal equinox, L."
AYjineya,1,,,"m. a kind of lizard, L. (cf. aYjanikA.)"
AbarhaRa,1,,,"n. the act of tearing off or out, L."
Abarhita,1,,,"mfn. torn out, L."
Abilakanda,1,,,"m. a species of bulbous plant, L."
AbuDya,1,,,"n. (fr. a-buDa), want of discernment, foolishness, L."
AcAmanaka,1,,,"m. = Acam˚ above, L."
AcArI,1,,,"f. the plant Hingtsha Repens, L."
AcAravedI,1,,,"f. ‘altar of religious customs’, N. of Āryāvarta, L."
AcCodana,1,,,"n. hunting, the chase, L. (v.l. A-kzod˚, q.v.)"
AcCuka,1,,,"m. (= Akzika, m.) the plant Morinda Tinctoria, L."
