; Group -1  count=0
; Group 0  count=682
<ls>Pāṇ.</ls>                  akarRya 180
<ls>Pāṇ.</ls>                  akArRavezwakika 246
<ls>Pāṇ.</ls>                  akftA 329
<ls>Pāṇ.</ls>                  akftakAram 330
<ls>Pāṇ.</ls>                  akeSa 368
<ls>Pāṇ.</ls>                  akOSala 373
<ls>Pāṇ.</ls>                  akkA 375
<ls>Pāṇ.</ls>                  akzapari 487
<ls>Pāṇ.</ls>                  ac 1768
<ls>Pāṇ.</ls>                  acAru 1807
<ls>Pāṇ.</ls>                  atyUDnI 2909
<ls>Pāṇ.</ls>                  atiKawva 2942
<ls>Pāṇ.</ls>                  atinO 3051
<ls>Pāṇ.</ls>                  atirE 3173
<ls>Pāṇ.</ls>                  atisarva 3273
<ls>Pāṇ.</ls>                  atyADAna 3470
<ls>Pāṇ.</ls>                  aDigA 4238
<ls>Pāṇ.</ls>                  aDIzwa 4537
<ls>Pāṇ.</ls>                  aDIzwa 4538
<ls>Pāṇ.</ls>                  aDvanIna 4750
<ls>Pāṇ.</ls>                  anaquhI 4845
<ls>Pāṇ.</ls>                  anaqvAhI 4846
<ls>Pāṇ.</ls>                  anadyatana 4874
<ls>Pāṇ.</ls>                  anapuMsaka 5118.1
<ls>Pāṇ.</ls>                  anuprayuj 6812
<ls>Pāṇ.</ls>                  anusU 7601
<ls>Pāṇ.</ls>                  antaHpAdam 8005
<ls>Pāṇ.</ls>                  antarvaRa 8146
<ls>Pāṇ.</ls>                  antarvaRam 8147
<ls>Pāṇ.</ls>                  antarDA 8285
<ls>Pāṇ.</ls>                  antitama 8324
<ls>Pāṇ.</ls>                  anyatara 8636
<ls>Pāṇ.</ls>                  anvAdiS 8830
<ls>Pāṇ.</ls>                  apavAda 9664
<ls>Pāṇ.</ls>                  apavAdasTala 9668
<ls>Pāṇ.</ls>                  apAdAna 10015
<ls>Pāṇ.</ls>                  apit 10163
<ls>Pāṇ.</ls>                  apfkta 10345
<ls>Pāṇ.</ls>                  abahvac 10969
<ls>Pāṇ.</ls>                  aBizic 12581
<ls>Pāṇ.</ls>                  aBisambanDa 12849
<ls>Pāṇ.</ls>                  aByavahArya 13315
<ls>Pāṇ.</ls>                  aByasta 13340
<ls>Pāṇ.</ls>                  aByAsa 13342
<ls>Pāṇ.</ls>                  aByAsanimitta 13353
<ls>Pāṇ.</ls>                  aByAsavyavAya 13357
<ls>Pāṇ.</ls>                  aByAvftti 13470
<ls>Pāṇ.</ls>                  aByudga 13567
<ls>Pāṇ.</ls>                  ayaTAtaTA 14726
<ls>Pāṇ.</ls>                  arTapada 15925
<ls>Pāṇ.</ls>                  avadAta 17388
<ls>Pāṇ.</ls>                  avayava 17843
<ls>Pāṇ.</ls>                  avasAna 18325
<ls>Pāṇ.</ls>                  avivakzita 19003
<ls>Pāṇ.</ls>                  avyakta 19226
<ls>Pāṇ.</ls>                  avyaBicArAt 19302
<ls>Pāṇ.</ls>                  avyaBicAreRa 19302.1
<ls>Pāṇ.</ls>                  avyaya 19314
<ls>Pāṇ.</ls>                  avyayIBAva 19320
<ls>Pāṇ.</ls>                  avyavaDAna 19335
<ls>Pāṇ.</ls>                  avyavahita 19339
<ls>Pāṇ.</ls>                  aSani 19476
<ls>Pāṇ.</ls>                  asahAya 20851
<ls>Pāṇ.</ls>                  asidDa 21008
<ls>Pāṇ.</ls>                  asUrta 21149
<ls>Pāṇ.</ls>                  asvarita 21614
<ls>Pāṇ.</ls>                  AkANkz 22084
<ls>Pāṇ.</ls>                  AkAlikI 22098
<ls>Pāṇ.</ls>                  AkAlikA 22098.1
<ls>Pāṇ.</ls>                  AkftigaRa 22230
<ls>Pāṇ.</ls>                  AKyA 22501
<ls>Pāṇ.</ls>                  AKyAna 22514
<ls>Pāṇ.</ls>                  AKyAna 22516
<ls>Pāṇ.</ls>                  Agama 22583
<ls>Pāṇ.</ls>                  Acakz 22861
<ls>Pāṇ.</ls>                  AcCAdana 22993
<ls>Pāṇ.</ls>                  AYC 23212
<ls>Pāṇ.</ls>                  Atmanepadin 23702
<ls>Pāṇ.</ls>                  Adima 23890
<ls>Pāṇ.</ls>                  AdarSa 24044
<ls>Pāṇ.</ls>                  ADikya 24174
<ls>Pāṇ.</ls>                  ADenava 24256
<ls>Pāṇ.</ls>                  AnaBimlAna 24451
<ls>Pāṇ.</ls>                  AnarTakya 24480
<ls>Pāṇ.</ls>                  AnAya 24531
<ls>Pāṇ.</ls>                  AnuKaqgya 24559
<ls>Pāṇ.</ls>                  Anugatika 24561
<ls>Pāṇ.</ls>                  AnugAdika 24564
<ls>Pāṇ.</ls>                  AnugrAmika 24567
<ls>Pāṇ.</ls>                  Anutilya 24572
<ls>Pāṇ.</ls>                  Anudfzweya 24574
<ls>Pāṇ.</ls>                  AnunASya 24576
<ls>Pāṇ.</ls>                  AnupaTya 24578
<ls>Pāṇ.</ls>                  AnumAzya 24591
<ls>Pāṇ.</ls>                  AnurAhati 24598
<ls>Pāṇ.</ls>                  Anulomya 24605
<ls>Pāṇ.</ls>                  Anulomya 24606
<ls>Pāṇ.</ls>                  AnusAyya 24633
<ls>Pāṇ.</ls>                  Anusftineya 24639
<ls>Pāṇ.</ls>                  AnUpaka 24649
<ls>Pāṇ.</ls>                  AparAhRika 24911
<ls>Pāṇ.</ls>                  ApUpika 25008
<ls>Pāṇ.</ls>                  Aplava 25138
<ls>Pāṇ.</ls>                  AplAvya 25148
<ls>Pāṇ.</ls>                  ABijita 25278
<ls>Pāṇ.</ls>                  ABijitya 25280
<ls>Pāṇ.</ls>                  ABimuKya 25294
<ls>Pāṇ.</ls>                  AmitrAyaRa 25514
<ls>Pāṇ.</ls>                  AmitrAyaRi 25515
