²  (\u00b2)     3 := SUPERSCRIPT TWO
³  (\u00b3)     1 := SUPERSCRIPT THREE
´  (\u00b4)     1 := ACUTE ACCENT
Ü  (\u00dc)     1 := LATIN CAPITAL LETTER U WITH DIAERESIS
â  (\u00e2)    23 := LATIN SMALL LETTER A WITH CIRCUMFLEX
ä  (\u00e4)     4 := LATIN SMALL LETTER A WITH DIAERESIS
è  (\u00e8)     2 := LATIN SMALL LETTER E WITH GRAVE
é  (\u00e9)     2 := LATIN SMALL LETTER E WITH ACUTE
ê  (\u00ea)     3 := LATIN SMALL LETTER E WITH CIRCUMFLEX
î  (\u00ee)     2 := LATIN SMALL LETTER I WITH CIRCUMFLEX
ñ  (\u00f1)    52 := LATIN SMALL LETTER N WITH TILDE
ô  (\u00f4)     4 := LATIN SMALL LETTER O WITH CIRCUMFLEX
ö  (\u00f6)     9 := LATIN SMALL LETTER O WITH DIAERESIS
û  (\u00fb)     1 := LATIN SMALL LETTER U WITH CIRCUMFLEX
ü  (\u00fc)     5 := LATIN SMALL LETTER U WITH DIAERESIS
Ā  (\u0100)    65 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101)  1178 := LATIN SMALL LETTER A WITH MACRON
Ī  (\u012a)     4 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b)   190 := LATIN SMALL LETTER I WITH MACRON
Ś  (\u015a)   143 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b)   219 := LATIN SMALL LETTER S WITH ACUTE
ū  (\u016b)   136 := LATIN SMALL LETTER U WITH MACRON
ḍ  (\u1e0d)    66 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)     4 := LATIN SMALL LETTER H WITH DOT BELOW
ṃ  (\u1e43)   136 := LATIN SMALL LETTER M WITH DOT BELOW
ṅ  (\u1e45)    44 := LATIN SMALL LETTER N WITH DOT ABOVE
ṇ  (\u1e47)   311 := LATIN SMALL LETTER N WITH DOT BELOW
Ṛ  (\u1e5a)    14 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ  (\u1e5b)   128 := LATIN SMALL LETTER R WITH DOT BELOW
Ṣ  (\u1e62)     4 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63)   163 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (\u1e6c)     2 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (\u1e6d)   101 := LATIN SMALL LETTER T WITH DOT BELOW
’  (\u2019)    10 := RIGHT SINGLE QUOTATION MARK
