;CDSL	AB
* misc (89) miscellaneous corrections 

> (g)nascor<	>(g)nascor<
> (Sauer-) ampfer<	>(Sauer-)ampfer<
>abhú<	>abhù<
>aer-is<	>ær-is<
>aes<	>æs<
>agua<	>aqua<
>as-is<	>æs-is<
>avibhcal<	>avibheal<
>aég<	>ǽg<
>bareṡman<	>bareśman<
>beide<	>beidê<
>bilíian<	>bilîban<
>bim< , >bim<	>bim< , >bin<
>blizgú<	>blizgù<
>bogatŭ<	>bogatǔ<
>bogŭ<	>bogǔ<
>bos<	>ḃos<
>bratrû<	>bratrǔ<
>broter-êlis<	>broter-ė́lis<
>brothar<	>brôthar<
>brŭvĭ<	>brǔvǐ<
>budrús<	>budrùs<
>budéti<	>budė́ti<
>bŭdrŭ<	>bǔdrǔ<
>bŭdĕti<	>bǔděti<
>ceatkair<	>ceathair<
>dva-daṡan<	>dva-daśan<
>egg.<	>egg<.
>ehe<	>Ehe<
>fare<	>to fare<
>fart<	>to fart<
>frigere<	>frīgere<
>ganâhs<	>ganôhs< ;; duplicated line
>ge< minus.	>geminus<.
>genâh<	>genôh< ;; duplicated line
>gistra< … (>-dagis<)	>gistra(-dagis)<
>go<	>to go<
>gŭnati<	>gǔnati<
>huithjo<	>haithjo<
>live<	>to live<
>lípti<	>lìpti<
>medús<	>medùs<
>medŭ<	>medǔ<
>mentúre<	>mentùrė< ;; duplicated line
>meth<	>Meth<
>midjiṡ<	>midjiś<
>midland<	<i>midland</i> ;; example word (not a cognate)
>midnight<	<i>midnight</i> ;; example word (not a cognate)
>midús<	>midùs<
>mėsà.<	>mėsà<
>mȩso<	>męso<
>nac-tus<  … >sum<	>nac-tus sum< ;; duplicated line
>nose-hole<	nose-hole ;; it's the meaning, not a cognate.
>nészti<	>nèszti< ;; duplicated line
>nĕbula<	>něbula<
>oedhm<	>ædhm<
>oes-tas<	>æs-tas<
>oes-tus<	>æs-tus<
>pañcāṡata<	>pañcāśata<
>peka<	>peką<
>pereṡu<	>pereśu<
>prae-sens<	>præ-sens<
>púlti<	>pùlti<
>rab-ŭ<	>rab-ǔ<
>rathaestā<	>rathæstā<
>sedéti<	>sedė́ti<
>segú<	>segù< ;; duplicated line
>sergéti<	>sergė́ti< ;; duplicated line
>spëti<	>spë́ti<
