<L>831<pc>4,3	agastyasaMhitA	ag/stya—saMhitA	agstyasaMhitA
<L>1164.1<pc>6,1	agnIzomIyapaSvanuzWAna	agnIzom/ya—paSv-anuzWAna	agnIzomyapaSvanuzWAna
<L>6414<pc>33,1	anudaka	an-udakam	anudakam
<L>8336<pc>44,2	antika	antikA/t	antikAt
<L>8337<pc>44,2	antika	antikA/t	antikAt
<L>18838<pc>108,3	avidviz	a-vidvize	avidvize
<L>20488.3<pc>118,1	asaNga	a/-saNga(<s>as</s>), 	asaNga(<s>as<s>)
<L>20488.5<pc>118,1	asaNga	a/-saNga(<s>as</s>), 	asaNga(<s>as<s>)
<L>20488.6<pc>118,1	asaNga	a/-saNga(<s>as</s>), 	asaNga(<s>as<s>)
<L>21881<pc>125,2	ahirbuDnyas	a/hir buDnya^s	ahir buDnyas
<L>27885<pc>159,3	Asanizu	Asa/nn—izu	Asannizu
<L>28702<pc>164,3	iqAyAspade	iLAyA/s-pade/	iLAyAspade
<L>32131<pc>183,2	udaSvidvat	uda—Svi/t-vat	udaSvitvat
<L>35591<pc>205,2	uparizwAllakzman	upa/rizwA—lakzman	uparizwAlakzman
<L>38447<pc>223,3	ftadyumna	fta/ —dyumna	fta dyumna
<L>39787.70<pc>230,1	ekAdaSAratni	/kAdaSAratni	kAdaSAratni
<L>40430<pc>234,1	EndrI	EndraI	EndraI
<L>46511<pc>264,2	kavi	kav	kav
<L>46512<pc>264,2	kavi	kav	kav
<L>46513<pc>264,2	kavi	kav	kav
<L>46514<pc>264,2	kavi	kav	kav
<L>73842.80<pc>397,1	citraraTa	citra/—raTI	citraraTI
<L>87330<pc>456,3	tta	-tta	-tta
<L>87331<pc>456,3	tti	-tti	-tti
<L>93038.1<pc>482,1	dIrGatamasorka	dIrGa—tamaso 'rka	dIrGatamaso rka
<L>93038.2<pc>482,1	dIrGatamasovrata	dIrGa—tamaso vrata	dIrGatamaso vrata
<L>96011<pc>494,2	devalokegata	deva—loke gata	devaloke gata
<L>98836<pc>506,2	dvijaropaRI	dvi-ja/=—ropaRI	dvija=ropaRI
<L>99021<pc>507,1	dvIpavat	dvIpa—vatI	dvIpavatI
<L>103160<pc>525,2	nagnaikA	na/gnikA	nagnikA
<L>105511.1<pc>535,1	nAnAvinA	nA/nA	nAnA
<L>120204<pc>610,1	palASI	palASa/	palASa
<L>120205<pc>610,1	palASI	palASa/	palASa
<L>120295.1<pc>610,2	pallISarawayoHPalAPalavicAra	pallI—SarawayoH PalAPala-vicAra	pallISarawayoH PalAPalavicAra
