page	anka	vers from	vers to	int page	remarks
27	1	1	1	1	
28	1	2	2	2	
29	1	3	3	3	
30	1	---	---	4	
31	1	4	4a	5	
32	1	4b	4b	6	
33	1	---	---	7	
34	1	5	6	8	
35	1	8	8	9	v.7 skipped
36	1	9	9	10	
37	1	10	10	11	
38	1	11	11	12	
39	1	12	12a	13	
40	1	12b	13	14	
41	1	14	14	15	
42	1	---	---	16	
43	1	15	16	17	
44	1	---	---	18	
45	1	17	18a	19	
46	1	18b	19	20	
47	2	---	---	21	
48	2	---	---	22	
49	2	---	---	23	
50	2	---	---	24	
51	2	---	---	25	
52	2	1	1	26	v.1 printed as v.6
53	2	2	2	27	
54	2	---	---	28	
55	2	---	---	29	
56	2	3	3	30	
57	2	4	4	31	
58	2	5	6	32	
59	2	7	7	33	
60	2	8	8	34	
61	2	9	9	35	
62	2	---	---	36	
63	2	---	---	37	
64	2	---	---	38	
65	2	---	---	39	
66	2	---	---	40	
67	2	---	---	41	
68	2	---	---	42	
69	2	10	11	43	
70	2	---	---	44	
71	2	---	---	45	
72	2	12	13	46	
73	2	---	---	47	
74	2	14	14	48	
75	2	15	15	49	
76	2	16	16	50	
77	2	17	17	51	
78	2	18	18	52	
79	2	---	---	53	
80	2	19	19	54	
81	2	---	---	55	
82	2	---	---	56	
83	2	---	---	57	
84	2	---	---	58	
85	2	20	20	59	
86	2	---	---	60	
87	2	---	---	61	
88	2	21	21	62	
89	2	22	22	63	
90	2	23	23	64	v.23 printed as v.22
91	3	---	---	65	
92	3	---	---	66	
93	3	---	---	67	
94	3	---	---	68	
95	3	1	2a	69	
96	3	2b	4a	70	
97	3	4b	4b	71	
98	3	5	5	72	
99	3	6	6	73	
100	3	7	7	74	
101	3	8	8	75	
102	3	9	9	76	
103	3	---	---	77	
104	3	---	---	78	
105	3	---	---	79	
106	3	10	10a	80	
107	3	10b	10b	81	
108	3	11	11	82	
109	3	---	---	83	
110	3	---	---	84	
111	3	12	12	85	
112	3	---	---	86	
113	3	13	13a	87	
114	3	13b	13b	88	
115	3	---	---	89	
116	3	---	---	90	
117	3	---	---	91	
118	3	14	14	92	
119	3	---	---	93	
120	3	15	15	94	
121	3	16	16	95	
122	3	17	17	96	
123	3	18	18a	97	
124	3	18b	19a	98	
125	3	19b	21a	99	
126	3	21b	22a	100	
127	3	22b	22b	101	
128	4	---	---	102	
129	4	---	---	103	
130	4	---	---	104	
131	4	---	---	105	
132	4	---	---	106	
133	4	1	2	107	
134	4	3	4a	108	
135	4	4b	6	109	
136	4	7	9	110	
137	4	10	11a	111	
138	4	11b	13	112	
139	4	14	15	113	
140	4	16	19	114	
141	4	20	21	115	
142	4	22	23	116	
143	4	24	25	117	
144	4	26	27	118	
145	4	28	28	119	
146	4	29	30	120	
147	4	31	33	121	
148	4	34	35a	122	
149	4	35b	37	123	
150	4	38	39a	124	
151	4	39b	40	125	
152	4	---	---	126	
153	4	41	41	127	
154	4	42	42	128	
155	4	43	43	129	v.43 printed as v.73
156	5	---	---	130	
157	5	---	---	131	
158	5	---	---	132	
159	5	1	2	133	
160	5	3	3	134	
161	5	4	4	135	
162	5	5	6a	136	
163	5	6b	6b	137	
164	5	7	7	138	
165	5	8	8	139	
166	5	---	---	140	
167	5	9	9	141	
168	5	10	10	142	
169	5	---	---	143	
170	5	---	---	144	
171	5	11	11	145	
172	5	---	---	146	
173	5	12	12	147	
174	5	---	---	148	
175	5	---	---	149	
176	5	13	14	150	
177	5	15	15	151	
178	5	---	---	152	
179	5	16	16	153	
180	5	17	17a	154	
181	5	17b	18	155	
182	5	19	19	156	
183	5	---	---	157	
184	5	20	20a	158	
185	5	20b	20b	159	
186	5	21	22a	160	
187	5	22b	22b	161	
188	5	23	24	162	
