parent_L,parent_k1,child_L,child_k1,child_lex,reciprocal
823,agasti,825.1,agastidru,f.,yes
8550,annAda,8551.1,annAditamA,,yes
16160,arDacandraka,89847.1,dattArDacandraka,mfn.,yes
16491.11,arhaRIya,16491.12,arhaRIyatama,mfn.,yes
16679.1,alAtacakra,16679.2,alAtacakravat,ind.,yes
16974,avakASa,16976.2,avakASena,ind.,yes
17008,avakfzwa,17009.1,avakfzwatara,mfn.,yes
18542,avAntara,18543.1,avAntarAm,ind.,no_backlink
19167.2,avfzaRa,19167.3,avfzaRIkfta,mfn.,yes
19418,aSana,166401.1,mUlaPalASana,,yes
20184,azwaguRa,20184.1,azwaguRASraya,mfn.,yes
20869,asADu,20870.1,asADunA,ind.,yes
20982.1,asitagati,20982.2,asitagatidyuti,m.,yes
21648,ahanti,21648.1,ahantya,mfn.,yes
21648,ahanti,21648.2,ahantva,mfn.,yes
21669,ahambudDi,5419.1,anahambudDi,mfn.,yes
21818,ahicumbaka,21818.1,ahicumbakAyani,m.,yes
22308,Akranda,5431.01,anAkranda,,yes
23161,AjYA,5480.1,anAjYayA,ind.,yes
24642,AnUka,24642.1,AnUkam,ind.,yes
25362,ABaradvasu,25362.1,ABaradvasava,n.,yes
25432,AmAd,25432.1,AmAdya,n.,yes
25656,Amragupta,25656.1,AmraguptAyani,m.,yes
25656,Amragupta,25656.2,Amragupti,m.,yes
27413,ASaNkA,194467.1,vigatASaNka,mfn.,yes
27413,ASaNkA,142613.1,badDASaNka,mfn.,yes
27563,ASvaSva,27563.1,ASvaSvya,n.,yes
27806,ASvalAyanaSAKA,27806.1,ASvalAyanaSAKin,mfn.,yes
28319,AhanasyA,5731.1,anAhanasya,mfn.,yes
28824,idAvatsara,28824.1,idAvatsarIya,mfn.,yes
28982,indrajanana,28982.1,indrajananIya,mfn.,yes
30878,utkfzwa,80487.1,jYAnotkfzwa,mfn.,yes
31144,uttara,257061.4,smottara,mfn.,yes
34462,upacAra,34465.1,upacArAt,ind.,yes
35305,upamA,13942.1,amaropama,mfn.,yes
37244,uras,37247.1,uraskftya,ind.,yes
37768,uzRam,37768.1,uzRaMkftya,ind.,yes
39809,ekAnta,39814.1,ekAnte,ind.,yes
39942,ekona,39942.1,ekonaviMSati,f.,yes
42134,kawuka,89909.1,daDikawuka,m.,yes
46080,kalpa,46090.1,kalpam,ind.,yes
49733,kAlvAla,49733.1,kAlvAlIkfta,mfn.,yes
50480,kiyaddUra,50480.1,kiyaddUre,ind.,yes
50480,kiyaddUra,50480.2,kiyaddUram,ind.,yes
52990,kulAkula,52994.21,kulAkulavAra,m.,yes
52992,kulAkula,52994.01,kulAkulatiTi,f.,yes
52993,kulAkula,52994.11,kulAkulanakzatra,n.,yes
58015,kriyAtmaka,58015.1,kriyAtmakatva,n.,yes
63376,gamBIra,87663,trigamBIra,,yes
65507,guRa,238214.1,sarvaguRa,mfn.,yes
65821,guRya,65821.1,guRyatva,n.,yes
71149,caturantA,71149.1,caturanteSa,m.,yes
71240,caturnavati,71240.1,caturnavatitama,mfn.,yes
71305,caturviMSat,71305.1,caturviMSacCata,n.,yes
71418.6,catuzpadI,71418.61,catuzpadIgamana,n.,yes
72044,capewApAtana,72044.1,capewApAtanAtiTi,mfn.,yes
73394,cikura,74394,cihura,m.,yes
73555,cittajYa,73555.1,cittajYatA,f.,yes
73612,cittAnuvartin,73612.1,cittAnuvartitva,n.,yes
73613,cittAnuvftti,73614.1,cittAnuvfttitva,n.,yes
73680,citra,228935.1,sacitra,mfn.,yes
74024,cidrUpa,74026.1,cidrUpatva,n.,yes
74138,cintAratna,74138.1,cintAratnAyita,n.,yes
74720,cUcuka,74540,cucuka,m.,yes
74720,cUcuka,74543,cucUka,n.,yes
74946,cela,150114.1,BAryAcela,n.,yes
74946,cela,147432.1,brAhmaRicelI,f.,yes
74946,cela,147340.1,brAhmaRacela,m.,yes
75367,CagalI,75367.1,CagalIpayas,n.,yes
75410,CattraDAra,75410.1,CattraDAratva,n.,yes
75706,CambawkAra,1866.4,acCambawkArAya,ind.,yes
76300,jagadantaka,76300.1,jagadantakAntaka,mfn.,yes
77076,janmavat,77076.1,janmavattA,f.,yes
77095,janmAnDa,77095.1,janmAnDatva,n.,yes
