L_number,resolved_to_ls,terminal_siglum,kind,confidence
102,Suśr.,Suśr.,real,crossed-headword
796,Car.,Car.,real,crossed-headword
1022,ĀśvŚr.,ĀśvŚr.,real,crossed-headword
2392,L.,L.,meta,crossed-headword
3150,"Pāṇ. iv, 1, 12",Pāṇ.,real,crossed-headword
3837,"Pāṇ. v, 2, 13",Pāṇ.,real,crossed-headword
4323,Buddh.,Buddh.,real,same-cluster
5294,Buddh.,Buddh.,real,same-cluster
6414,KātyŚr.,KātyŚr.,real,same-cluster
6689,MBh.,MBh.,real,same-cluster
6719,ŚBr.,ŚBr.,real,same-cluster
6757,"Pāṇ. vi, 2, 190",Pāṇ.,real,same-cluster
7152,KātyŚr.,KātyŚr.,real,same-cluster
7271,Buddh.,Buddh.,real,same-cluster
8437,"Pāṇ. iii, 2, 57.",Pāṇ.,real,crossed-headword
8707,AitBr.,AitBr.,real,crossed-headword
8708,AitBr.,AitBr.,real,crossed-headword
8732,"Pāṇ. iii, 4, 64.",Pāṇ.,real,crossed-headword
8864,TS.,TS.,real,crossed-headword
9288,"Pāṇ. vi, 2, 187",Pāṇ.,real,same-cluster
9334,"Pāṇ. vi, 2, 187",Pāṇ.,real,same-cluster
9378,"Pāṇ. vi, 2, 186",Pāṇ.,real,same-cluster
9379,"Pāṇ. vi, 2, 186",Pāṇ.,real,crossed-headword
9707,"Pāṇ. vi, 2, 187",Pāṇ.,real,crossed-headword
9708,"Pāṇ. vi, 2, 187",Pāṇ.,real,crossed-headword
9710,RV.,RV.,real,same-cluster
9878,"Pāṇ. vi, 2, 187",Pāṇ.,real,crossed-headword
9884,BhP.,BhP.,real,same-cluster
9979.1,AV.,AV.,real,same-cluster
10130.1,MBh.,MBh.,real,same-cluster
10130.2,MBh.,MBh.,real,same-cluster
10362,"Mn. vii, 197.",Mn.,real,crossed-headword
10439,Naigh.,Naigh.,real,same-cluster
10705,"xii, 94",xii,real,crossed-headword
10773,MBh.,MBh.,real,same-cluster
12696,MBh.,MBh.,real,same-cluster
12697,MBh.,MBh.,real,same-cluster
12714,Car.,Car.,real,same-cluster
12726,"MBh. iii, 8080",MBh.,real,same-cluster
12736,"MBh. iv, 1572",MBh.,real,same-cluster
12772,MBh.,MBh.,real,same-cluster
12969,"MBh. iv, 2364",MBh.,real,same-cluster
13009,KātyŚr.,KātyŚr.,real,same-cluster
13208,Hariv. 1440.,Hariv.,real,crossed-headword
13228,"Pāṇ. vii, 2, 34",Pāṇ.,real,same-cluster
13230,Nir.,Nir.,real,crossed-headword
13498,Bād.,Bād.,real,same-cluster
13513,AitBr.,AitBr.,real,crossed-headword
14011.3,Sūryas.,Sūryas.,real,crossed-headword
14031,Nyāyam.,Nyāyam.,real,crossed-headword
14038,Nyāyam.,Nyāyam.,real,crossed-headword
14039,Vajracch.,Vajracch.,real,crossed-headword
14076,"MBh. iii, 2577.",MBh.,real,crossed-headword
14681,Sūryas.,Sūryas.,real,crossed-headword
14682,Sūryas.,Sūryas.,real,crossed-headword
14683,Sūryas.,Sūryas.,real,crossed-headword
14685.1,Sūryas.,Sūryas.,real,crossed-headword
14771,"Pāṇ. viii, 3, 46",Pāṇ.,real,crossed-headword
14780,"Pāṇ. viii, 3, 46",Pāṇ.,real,crossed-headword
14904,Nyāyad.,Nyāyad.,real,crossed-headword
14905,Nyāyad.,Nyāyad.,real,crossed-headword
15065,Hariv. 434,Hariv.,real,same-cluster
15100,N.,N.,real,same-cluster
15226,Kāś.,Kāś.,real,crossed-headword
15248,TBr.,TBr.,real,same-cluster
15266,"AV. ii, 18, 3.",AV.,real,crossed-headword
15285,VarBṛS.,VarBṛS.,real,same-cluster
15310,Hariv.,Hariv.,real,same-cluster
15431,BhP.,BhP.,real,same-cluster
15673,Ragh.,Ragh.,real,same-cluster
16107,MBh.,MBh.,real,same-cluster
16261,"Mn. viii, 311",Mn.,real,same-cluster
16403,"Pāṇ. v, 3, 84.",Pāṇ.,real,crossed-headword
16430,ŚBr.,ŚBr.,real,crossed-headword
16431,ŚBr.,ŚBr.,real,crossed-headword
16454,ŚBr.,ŚBr.,real,same-cluster
16981,KātyŚr.,KātyŚr.,real,crossed-headword
17037,Jain.,Jain.,real,crossed-headword
17189,Suśr.,Suśr.,real,same-cluster
17194,ĀpŚr.,ĀpŚr.,real,same-cluster
17243,ĀśvŚr.,ĀśvŚr.,real,same-cluster
17296,"Pāṇ. v, 2, 31",Pāṇ.,real,same-cluster
17330,"Ragh. vi, 30",Ragh.,real,same-cluster
17389,MBh.,MBh.,real,same-cluster
17426,RV.,RV.,real,same-cluster
17434,Nyāyad.,Nyāyad.,real,crossed-headword
17503,MBh.,MBh.,real,same-cluster
17503,MBh.,MBh.,real,same-cluster
17627,Kathās.,Kathās.,real,crossed-headword
17634,Rājat.,Rājat.,real,crossed-headword
17768,MBh.,MBh.,real,same-cluster
17886,ŚBr.,ŚBr.,real,same-cluster
17910,TS.,TS.,real,same-cluster
17910,TS.,TS.,real,same-cluster
18184,Kathās.,Kathās.,real,same-cluster
18247,Suśr.,Suśr.,real,same-cluster
18248,Suśr.,Suśr.,real,same-cluster
18264,"ŚBr. iii, 1, 1, 21.",ŚBr.,real,crossed-headword
18626,"Pāṇ. iv, 2, 36",Pāṇ.,real,crossed-headword
18797,"Pāṇ. v, 1, 8",Pāṇ.,real,crossed-headword
18878,Suśr.,Suśr.,real,crossed-headword
18912,Jaim.,Jaim.,real,same-cluster
18932,Kathās.,Kathās.,real,same-cluster
18932,Kathās.,Kathās.,real,same-cluster
19416,"Pāṇ. i, 3, 87",Pāṇ.,real,same-cluster
19467,ŚBr. iv.,ŚBr.,real,crossed-headword
19564,Kād.,Kād.,real,crossed-headword
19864,Mṛcch.,Mṛcch.,real,crossed-headword
19939,"Pāṇ. v, 1, 111",Pāṇ.,real,crossed-headword
20139,VarBṛS.,VarBṛS.,real,same-cluster
20544,2918,2918,real,same-cluster
20584,BhP.,BhP.,real,same-cluster
20705,Tarkas.,Tarkas.,real,crossed-headword
20712,L.,L.,meta,crossed-headword
20717,"Mn. xi, 157.",Mn.,real,crossed-headword
20768,Kād.,Kād.,real,same-cluster
20786,MBh.,MBh.,real,crossed-headword
20828,Kathās.,Kathās.,real,same-cluster
21198,KātyŚr.,KātyŚr.,real,same-cluster
21288,Sarvad.,Sarvad.,real,crossed-headword
21297,AitBr.,AitBr.,real,same-cluster
21372,Kpr.,Kpr.,real,crossed-headword
21530,"Pāṇ. v, 2, 59",Pāṇ.,real,crossed-headword
21672,BhP.,BhP.,real,crossed-headword
21673,BrahmavP.,BrahmavP.,real,crossed-headword
21675,ŚBr. xiv.,ŚBr.,real,crossed-headword
21777,"AV. xx, 131, 9.",AV.,real,crossed-headword
21782,Bālar.,Bālar.,real,crossed-headword
21791,ŚBr. i.,ŚBr.,real,crossed-headword
21792,ŚBr. i.,ŚBr.,real,crossed-headword
21793,ŚBr. i.,ŚBr.,real,crossed-headword
21804,Naigh.,Naigh.,real,same-cluster
21932,ŚāṅkhŚr.,ŚāṅkhŚr.,real,crossed-headword
21989,ŚBr. xii.,ŚBr.,real,crossed-headword
21990,ŚBr. xii.,ŚBr.,real,crossed-headword
22160,Kāś.,Kāś.,real,crossed-headword
22172,MBh.,MBh.,real,same-cluster
22173,MBh.,MBh.,real,same-cluster
22248,"MBh. ii, 1270",MBh.,real,same-cluster
22270,Kāś.,Kāś.,real,crossed-headword
22477,Prasannar.,Prasannar.,real,crossed-headword
22488,Kathās.,Kathās.,real,crossed-headword
22491,Vet.,Vet.,real,same-cluster
22511,Kathās.,Kathās.,real,same-cluster
22548,Kāś.,Kāś.,real,crossed-headword
22549,Kāś.,Kāś.,real,same-cluster
22550,Kāś.,Kāś.,real,crossed-headword
22551,Kāś.,Kāś.,real,crossed-headword
22552,Kāś.,Kāś.,real,crossed-headword
22622,"MBh. i, 4451.",MBh.,real,crossed-headword
22627,"Pāṇ. vi, 4, 149",Pāṇ.,real,same-cluster
22636,L.,L.,meta,crossed-headword
22637,L.,L.,meta,crossed-headword
22638,L.,L.,meta,crossed-headword
22683,TPrāt.,TPrāt.,real,crossed-headword
22810,"RV. viii, 60, 20",RV.,real,crossed-headword
22909,MBh.,MBh.,real,same-cluster
22958,Hariv. 3036,Hariv.,real,crossed-headword
22960,Hariv. 3036,Hariv.,real,crossed-headword
22961,Hariv. 3036,Hariv.,real,crossed-headword
22973,"Pāṇ. v, 1, 53",Pāṇ.,real,crossed-headword
23027,RV.,RV.,real,crossed-headword
23042,Kāś.,Kāś.,real,crossed-headword
23058,Kāś.,Kāś.,real,crossed-headword
23235,L.,L.,meta,crossed-headword
23287,"Pāṇ. v, 1, 53",Pāṇ.,real,crossed-headword
23385,Kād.,Kād.,real,crossed-headword
23479,Jātakam.,Jātakam.,real,crossed-headword
23566,Buddh.,Buddh.,real,same-cluster
23604,"MBh. i, 6228.",MBh.,real,crossed-headword
23754,"RV. x, 71, 7.",RV.,real,crossed-headword
23763,RV.,RV.,real,same-cluster
23927,MaitrS.,MaitrS.,real,crossed-headword
23945,VS.,VS.,real,crossed-headword
24121,Sāh.,Sāh.,real,crossed-headword
24123,Rājat.,Rājat.,real,crossed-headword
24177,Suśr.,Suśr.,real,crossed-headword
24197,RV.,RV.,real,same-cluster
24212,VBr.,VBr.,real,crossed-headword
24213,VBr.,VBr.,real,crossed-headword
24244,L.,L.,meta,same-cluster
24251,T.,T.,real,same-cluster
24430,NṛsUp.,NṛsUp.,real,crossed-headword
24488,RV.,RV.,real,same-cluster
24560,Pāṇ.,Pāṇ.,real,crossed-headword
24565,T.,T.,real,same-cluster
24568,Pāṇ.,Pāṇ.,real,crossed-headword
24573,Pāṇ.,Pāṇ.,real,crossed-headword
24580,Pāṇ.,Pāṇ.,real,crossed-headword
24581,Pāṇ.,Pāṇ.,real,crossed-headword
24592,Pāṇ.,Pāṇ.,real,crossed-headword
24595,MānŚr.,MānŚr.,real,crossed-headword
24596,MānŚr.,MānŚr.,real,crossed-headword
24634,Pāṇ.,Pāṇ.,real,crossed-headword
24635,Pāṇ.,Pāṇ.,real,crossed-headword
24640,Pāṇ.,Pāṇ.,real,crossed-headword
24641,Pāṇ.,Pāṇ.,real,crossed-headword
24645,Suśr.,Suśr.,real,same-cluster
24656,Hariv.,Hariv.,real,same-cluster
24704,L.,L.,meta,crossed-headword
24847,"Uṇ. ii, 45",Uṇ.,real,same-cluster
24916,BhP.,BhP.,real,crossed-headword
25000,R.,R.,real,same-cluster
25047,RV.,RV.,real,same-cluster
25060,KapS.,KapS.,real,crossed-headword
25134,L.,L.,meta,crossed-headword
25202,Kathās.,Kathās.,real,crossed-headword
25214,L.,L.,meta,crossed-headword
25279,Pāṇ.,Pāṇ.,real,same-cluster
25411,L.,L.,meta,crossed-headword
25491,L.,L.,meta,crossed-headword
25519,Pat.,Pat.,real,crossed-headword
25570,Kāś.,Kāś.,real,crossed-headword
25604,L.,L.,meta,crossed-headword
