akalmaza akalmaṣa Akalmaṣa
akutaScana akutaścana Akutaścana
akula akula Akula
akula akula Akula
akkAdevI akkādevī Akkādevī
akzayavawa akṣayavaṭa Akṣayavaṭa
akzara akṣara Akṣara
akzoByA akṣobhyā Akṣobhyā
akzoByatIrTa akṣobhyatīrtha Akṣobhyatīrtha
agAravinoda agāravinoda Agāravinoda
agnitanu agnitanu Agnitanu
agninArAyaRa agninārāyaṇa Agninārāyaṇa
agniputra agniputra Agniputra
agnimIyAma agnimīyāma Agnimīyāma
agnirahasyakARqa agnirahasyakāṇḍa Agnirahasyakāṇḍa
agnilocana agnilocana Agnilocana
agnihotfbrAhmaRa agnihotṛbrāhmaṇa Agnihotṛbrāhmaṇa
agraboDi agrabodhi Agrabodhi
agraSrAvaka agraśrāvaka Agraśrāvaka
aGaRwa aghaṇṭa Aghaṇṭa
aGoraGaRwa aghoraghaṇṭa Aghoraghaṇṭa
aNkasaMjYA aṅkasaṁjñā Aṅkasaṁjñā
aNgasPuraRavicAra aṅgasphuraṇavicāra Aṅgasphuraṇavicāra
aNgiraHsmfti aṅgiraḥsmṛti Aṅgiraḥsmṛti
acyutacakravartin acyutacakravartin Acyutacakravartin
ajapAla ajapāla Ajapāla
ajayapAla ajayapāla Ajayapāla
ajayavarman ajayavarman Ajayavarman
ajayasiMha ajayasiṁha Ajayasiṁha
ajYAnaboDinI ajñānabodhinī Ajñānabodhinī
ajYAnaviDvaMsana ajñānavidhvaṁsana Ajñānavidhvaṁsana
aRIcin aṇīcin Aṇīcin
ativIryapraBa ativīryaprabha Ativīryaprabha
atirAtrayAjin atirātrayājin Atirātrayājin
atISa atīśa Atīśa
aditikuRqalAharaRa aditikuṇḍalāharaṇa Aditikuṇḍalāharaṇa
adButakfzRarAja adbhutakṛṣṇarāja Adbhutakṛṣṇarāja
adButadarpaRa adbhutadarpaṇa Adbhutadarpaṇa
adButaraNga adbhutaraṅga Adbhutaraṅga
adriDft adridhṛt Adridhṛt
advEtadIpikA advaitadīpikā Advaitadīpikā
advEtabrahmasidDi advaitabrahmasiddhi Advaitabrahmasiddhi
advEtamakaranda advaitamakaranda Advaitamakaranda
advEtavAdin advaitavādin Advaitavādin
aDobARa adhobāṇa Adhobāṇa
aDikArasaMgraha adhikārasaṁgraha Adhikārasaṁgraha
aDizavaRaPalaka adhiṣavaṇaphalaka Adhiṣavaṇaphalaka
